1662123058.874979 client started (36232): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1662123058.875053 on Darwin 21.2.0 Darwin Kernel Version 21.2.0: Sun Nov 28 20:28:41 PST 2021; root:xnu-8019.61.5~1/RELEASE_ARM64_T6000
1662123058.875077 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.3
1662123058.875107 flags are 0x18010000
1662123058.875120 socket is /private/tmp/tmux-501/default
1662123058.875136 trying connect
1662123058.875162 connect failed: Connection refused
1662123058.875181 lock file is /private/tmp/tmux-501/default.lock
1662123058.875281 flock succeeded
1662123058.875293 got lock (6)
1662123058.875307 trying connect
1662123058.875322 connect failed: Connection refused
1662123058.875743 add peer 0x138048000: 7 (0x0)
1662123058.877558 sending message 100 to peer 0x138048000 (4 bytes)
1662123058.877583 sending message 111 to peer 0x138048000 (8 bytes)
1662123058.877595 sending message 101 to peer 0x138048000 (15 bytes)
1662123058.877606 sending message 109 to peer 0x138048000 (4 bytes)
1662123058.877616 sending message 102 to peer 0x138048000 (13 bytes)
1662123058.877627 sending message 108 to peer 0x138048000 (41 bytes)
1662123058.877636 sending message 112 to peer 0x138048000 (58 bytes)
1662123058.877646 sending message 112 to peer 0x138048000 (5 bytes)
1662123058.877656 sending message 112 to peer 0x138048000 (5 bytes)
1662123058.877665 sending message 112 to peer 0x138048000 (6 bytes)
1662123058.877674 sending message 112 to peer 0x138048000 (6 bytes)
1662123058.877685 sending message 112 to peer 0x138048000 (11 bytes)
1662123058.877696 sending message 112 to peer 0x138048000 (10 bytes)
1662123058.877705 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.877716 sending message 112 to peer 0x138048000 (14 bytes)
1662123058.877727 sending message 112 to peer 0x138048000 (19 bytes)
1662123058.877737 sending message 112 to peer 0x138048000 (11 bytes)
1662123058.877746 sending message 112 to peer 0x138048000 (10 bytes)
1662123058.877755 sending message 112 to peer 0x138048000 (15 bytes)
1662123058.877762 sending message 112 to peer 0x138048000 (21 bytes)
1662123058.877771 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.877781 sending message 112 to peer 0x138048000 (7 bytes)
1662123058.877790 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.877800 sending message 112 to peer 0x138048000 (7 bytes)
1662123058.877810 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.877819 sending message 112 to peer 0x138048000 (9 bytes)
1662123058.877829 sending message 112 to peer 0x138048000 (21 bytes)
1662123058.877839 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.877849 sending message 112 to peer 0x138048000 (9 bytes)
1662123058.877859 sending message 112 to peer 0x138048000 (16 bytes)
